chr	start	end	startCpG	endCpG	Mouth	Stomach	Small-intestine	Colon
chr6	37340080	37340496	9485780	9485785	0.48	0.96	0.95	0.95
chr6	147742465	147742908	10256002	10256017	0.44	0.91	0.92	0.91
chr3	126611893	126612276	5462801	5462808	0.46	0.94	0.94	0.95
chr1	149818706	149819297	1361898	1361907	0.48	0.96	0.95	0.97
chr8	10621374	10621648	12243011	12243016	0.45	0.92	0.92	0.95
chr11	111305749	111306093	17013790	17013798	0.45	0.94	0.93	0.92
chr22	29850288	29850644	26378812	26378820	0.32	0.75	0.83	0.84
chr2	99923231	99924275	3196160	3196168	0.43	0.91	0.90	0.91
chr2	238005647	238006438	4352697	4352703	0.46	0.95	0.95	0.93
chr1	15233327	15233600	281874	281881	0.42	0.86	0.94	0.93
chr16	50819442	50819908	21675901	21675906	0.42	0.87	0.94	0.93
chr3	138495253	138495480	5579019	5579027	0.47	0.96	0.95	0.92
chr11	4040840	4041544	16078026	16078031	0.45	0.94	0.93	0.92
chr2	26535770	26536276	2567047	2567056	0.45	0.92	0.94	0.93
chr15	60903807	60904229	20619475	20619481	0.41	0.90	0.81	0.90
chr2	65383766	65384197	2914960	2914966	0.47	0.94	0.96	0.96
chr1	228281132	228281390	2054797	2054805	0.39	0.79	0.90	0.95
chr17	27899184	27899420	22573806	22573814	0.45	0.91	0.92	0.95
chr7	144222556	144222938	11891783	11891788	0.44	0.91	0.94	0.92
chr6	56500451	56501844	9651313	9651327	0.49	0.96	0.97	0.96
chr13	99606259	99606670	19171828	19171833	0.46	0.93	0.94	0.95
chr12	6859403	6859853	17368485	17368490	0.46	0.93	0.93	0.94
chr20	14221542	14221802	25210506	25210513	0.41	0.92	0.88	0.87
chr6	27505637	27506048	9347637	9347642	0.42	0.89	0.86	0.93
chr21	36543299	36543780	25986982	25986989	0.45	0.89	0.96	0.95
chr15	42132909	42133281	20448976	20448990	0.49	0.96	0.97	0.97
chr15	33453609	33453947	20363219	20363228	0.42	0.86	0.91	0.95
chr1	22056982	22057294	389135	389140	0.49	0.96	0.97	0.97
chr2	107711595	107712246	3273952	3273957	0.46	0.92	0.93	0.95
chr2	233055777	233056582	4284205	4284210	0.47	0.96	0.93	0.94
chr2	43617949	43618190	2732495	2732500	0.47	0.96	0.95	0.94
chr1	113906888	113907339	1239457	1239462	0.48	0.95	0.97	0.96
chr8	59785994	59787020	12685673	12685678	0.48	0.96	0.97	0.96
chr1	23771037	23771792	415609	415614	0.43	0.90	0.93	0.91
chr6	7550309	7550577	9148776	9148784	0.47	0.96	0.93	0.94
chr10	112576976	112577233	15688786	15688791	0.48	0.96	0.97	0.93
chr18	6782479	6783266	23402940	23402949	0.40	0.90	0.88	0.84
chr5	150995499	150995853	8735515	8735520	0.39	0.88	0.88	0.85
chr10	95408811	95409132	15516546	15516553	0.42	0.90	0.92	0.88
chr14	97878141	97878430	20051783	20051793	0.50	0.01	0.02	0.04
chr1	16092671	16093084	297103	297113	0.47	0.96	0.94	0.94
chr2	179454383	179454627	3860480	3860485	0.46	0.95	0.95	0.91
chr8	22527240	22527695	12367557	12367563	0.42	0.89	0.91	0.91
chr1	51115227	51115685	762631	762639	0.48	0.96	0.96	0.96
chr19	40350213	40350504	24724873	24724881	0.44	0.93	0.90	0.91
chr13	41697643	41697913	18771948	18771953	0.44	0.91	0.92	0.91
chr9	136363671	136363918	14506740	14506746	0.45	0.91	0.92	0.95
chr1	116293417	116294065	1259322	1259334	0.46	0.92	0.94	0.95
chr4	101792524	101792821	6888242	6888247	0.45	0.96	0.89	0.91
chr6	42942478	42942690	9546774	9546779	0.45	0.93	0.95	0.92
chr9	133989003	133989296	14462211	14462218	0.41	0.90	0.84	0.88
chr17	43251698	43251929	22791120	22791126	0.44	0.95	0.88	0.89
chr22	46366493	46366728	26646640	26646647	0.66	0.20	0.11	0.20
chr5	73121063	73122019	8136484	8136493	0.48	0.96	0.95	0.97
chr6	37504952	37505181	9487983	9487989	0.94	0.42	0.52	0.48
chr17	68037686	68037903	23079406	23079412	0.48	0.94	0.96	0.97
chr17	42321789	42322173	22773719	22773724	0.45	0.92	0.93	0.93
chr19	46033330	46033561	24817850	24817862	0.44	0.93	0.91	0.91
chr4	8459382	8459657	6236525	6236530	0.41	0.87	0.91	0.88
chr9	137535016	137535227	14535042	14535054	0.03	0.46	0.53	0.54
chr21	34189587	34190147	25957827	25957832	0.49	0.01	0.01	0.02
chr17	17340825	17341039	22464592	22464597	0.42	0.90	0.88	0.90
chr17	38653404	38653654	22715403	22715408	0.47	0.94	0.96	0.94
chr4	2410614	2411031	6129178	6129188	0.46	0.94	0.94	0.93
chr19	11734585	11734806	24324161	24324169	0.49	0.02	0.01	0.01
chr21	36653516	36653965	25987827	25987835	0.47	0.95	0.94	0.93
chr16	79101597	79101998	21978436	21978442	0.46	0.93	0.93	0.93
chr2	220120143	220120763	4165327	4165334	0.44	0.91	0.93	0.91
chr1	27171348	27171577	469518	469524	0.47	0.94	0.96	0.94
chr6	158409885	158410099	10365202	10365208	0.44	0.93	0.89	0.90
chr22	30141354	30141912	26383887	26383899	0.49	0.96	0.96	0.97
chr7	45066650	45067320	11008702	11008712	0.48	0.95	0.95	0.96
chr19	4966783	4967102	24180963	24180973	0.42	0.93	0.86	0.86
chr1	156529222	156529545	1455744	1455749	0.47	0.93	0.95	0.95
chr10	61889284	61889561	15212341	15212346	0.48	0.96	0.95	0.94
chr18	44047956	44048203	23694190	23694196	0.42	0.88	0.89	0.91
chr17	15556394	15556704	22438063	22438069	0.40	0.80	0.93	0.92
chr8	81111324	81111611	12838711	12838729	0.49	0.96	0.98	0.97
chr22	46454865	46455126	26649044	26649055	0.44	0.91	0.93	0.90
chr17	74530987	74531457	23175476	23175481	0.46	0.94	0.91	0.95
chr1	33441089	33441520	560303	560328	0.49	0.97	0.97	0.96
chr2	48751520	48751984	2785999	2786009	0.50	0.97	0.97	0.97
chr7	22381782	22382397	10798133	10798138	0.47	0.96	0.91	0.95
chr9	67050711	67051001	13804114	13804122	0.39	0.84	0.88	0.88
chr15	70784680	70785110	20732765	20732774	0.45	0.89	0.94	0.95
chr11	112251101	112251513	17023598	17023608	0.45	0.92	0.93	0.94
chr17	36105890	36106165	22670264	22670272	0.49	0.01	0.01	0.02
chr8	130400821	130401232	13198495	13198500	0.42	0.86	0.94	0.90
chr14	91744435	91744839	19977623	19977637	0.49	0.97	0.97	0.97
chr5	59968073	59968329	8030081	8030086	0.96	0.47	0.50	0.49
chr9	135124454	135124873	14482769	14482776	0.51	0.01	0.09	0.04
chr4	154134363	154134773	7240223	7240230	0.46	0.95	0.92	0.91
chr4	174051450	174052339	7377750	7377762	0.47	0.96	0.94	0.92
chr10	71096652	71096922	15284602	15284607	0.47	0.95	0.92	0.95
chr3	195920950	195921178	6039995	6040000	0.49	0.01	0.01	0.02
chr11	117038253	117039094	17068364	17068369	0.39	0.80	0.91	0.92
chr16	89965370	89965597	22179416	22179427	0.45	0.92	0.92	0.92
chr1	159912498	159912790	1485121	1485127	0.42	0.88	0.91	0.92
chr12	95607183	95607602	18069170	18069178	0.49	0.96	0.97	0.96
chr6	1334969	1335170	9070226	9070232	0.50	0.04	0.01	0.01
chr10	35503511	35503810	15021355	15021360	0.35	0.80	0.82	0.85
chr9	131596502	131596932	14415308	14415313	0.47	0.95	0.95	0.92
chr9	37920792	37921173	13708790	13708795	0.48	0.94	0.95	0.95
chr20	36134353	36134829	25422853	25422858	0.36	0.80	0.76	0.90
chr6	12343810	12344299	9195988	9195994	0.48	0.00	0.01	0.01
chr4	88145110	88145397	6800552	6800560	0.45	0.92	0.92	0.93
chr7	6994869	6995215	10691861	10691871	0.50	0.97	0.97	0.97
chr6	11068039	11068312	9183266	9183271	0.49	0.02	0.01	0.02
chr7	149728887	149729514	11945337	11945343	0.45	0.91	0.94	0.93
chr13	20777678	20778215	18571085	18571090	0.44	0.89	0.93	0.93
chr8	143423866	143424079	13331407	13331415	0.46	0.94	0.93	0.91
chr7	104822707	104823060	11575387	11575393	0.49	0.96	0.97	0.96
chr11	62326392	62326736	16538450	16538459	0.43	0.90	0.90	0.89
chr16	30126526	30126739	21557337	21557344	0.49	0.01	0.01	0.02
chr9	13164750	13165094	13506813	13506818	0.41	0.91	0.85	0.86
chr19	5042238	5042504	24183086	24183096	0.45	0.94	0.92	0.92
chr20	36876523	36876734	25432015	25432023	0.46	0.93	0.94	0.93
chr3	32169293	32169554	4719132	4719138	0.47	0.93	0.96	0.96
chr6	533890	534651	9059950	9059956	0.47	0.93	0.94	0.95
chr5	150883985	150884467	8734381	8734390	0.45	0.91	0.96	0.92
chr19	5017162	5017508	24182323	24182329	0.40	0.90	0.89	0.82
chr19	3414998	3415371	24135115	24135122	0.43	0.88	0.92	0.91
chr12	130700655	130700859	18483186	18483192	0.41	0.87	0.93	0.86
chr2	102576238	102576828	3226995	3227003	0.48	0.97	0.92	0.95
chr8	18523757	18524137	12321533	12321542	0.50	0.00	0.03	0.04
chr3	140999252	140999729	5599465	5599470	0.47	0.94	0.93	0.94
chr18	61112948	61113259	23845754	23845760	0.49	0.95	0.96	0.97
chr14	21269942	21270203	19377240	19377248	0.48	0.01	0.01	0.02
chr19	47332200	47332430	24844468	24844473	0.46	0.93	0.94	0.92
chr7	42246530	42247075	10976655	10976662	0.42	0.90	0.89	0.89
chr16	30828490	30828796	21572838	21572846	0.43	0.89	0.89	0.93
chr7	72816048	72816318	11261109	11261116	0.41	0.88	0.84	0.90
chr1	201991166	201991388	1805350	1805359	0.45	0.95	0.90	0.89
chr6	139458607	139459031	10199076	10199082	0.46	0.93	0.93	0.95
chr1	32811154	32811392	549558	549563	0.49	0.01	0.02	0.03
chr22	41995602	41995815	26564634	26564645	0.49	0.96	0.96	0.96
chr16	56910159	56910637	21733102	21733108	0.44	0.90	0.92	0.92
chr15	46121856	46122095	20495510	20495518	0.50	0.04	0.02	0.03
chr19	45948305	45948608	24815471	24815477	0.38	0.91	0.80	0.79
chr22	47192975	47193305	26667984	26667991	0.43	0.86	0.93	0.93
chr17	9260134	9260471	22369319	22369324	0.48	0.96	0.92	0.95
chr21	43199238	43199497	26064065	26064071	0.52	0.04	0.03	0.07
chr9	94508515	94508871	14031387	14031398	0.48	0.96	0.94	0.95
chr8	29630975	29631222	12443488	12443499	0.49	0.02	0.01	0.02
chr2	239997718	239997971	4383792	4383803	0.48	0.01	0.01	0.02
chr10	12769641	12769868	14792778	14792786	0.49	0.96	0.96	0.97
chr2	241382344	241382616	4409547	4409558	0.48	0.96	0.94	0.94
chr13	48980443	48981261	18833983	18833990	0.47	0.94	0.95	0.94
chr16	11143845	11144193	21304596	21304602	0.48	0.95	0.97	0.93
chr2	114045972	114046599	3340428	3340433	0.48	0.01	0.00	0.01
chr9	94712843	94713075	14034515	14034534	0.50	0.01	0.03	0.04
chrX	137968126	137968559	27839145	27839152	0.36	0.83	0.83	0.83
chr6	44695748	44696140	9572141	9572153	0.42	0.89	0.90	0.89
chr14	68989927	68990637	19763795	19763801	0.49	0.97	0.98	0.95
chr5	6753967	6754205	7654483	7654493	0.49	0.96	0.98	0.96
chr14	50868542	50868747	19605100	19605106	0.48	0.94	0.94	0.95
chr2	234558679	234558906	4306329	4306334	0.49	0.96	0.98	0.96
chr6	47069311	47069761	9589589	9589603	0.49	0.96	0.97	0.95
chr1	115016081	115016424	1248956	1248962	0.37	0.86	0.81	0.84
chr22	36484407	36484717	26462692	26462698	0.37	0.86	0.85	0.82
chr20	3765434	3766021	25125284	25125295	0.39	0.80	0.91	0.91
chr1	151555705	151556248	1388824	1388829	0.46	0.94	0.92	0.92
chr8	80669698	80669924	12834479	12834486	0.42	0.88	0.87	0.89
chr19	18721313	18721532	24466957	24466965	0.52	0.05	0.06	0.05
chr17	19213095	19213452	22498389	22498395	0.48	0.95	0.95	0.94
chr11	95156769	95157105	16905468	16905473	0.47	0.93	0.94	0.95
chr18	77664925	77665139	24012633	24012643	0.49	0.96	0.96	0.96
chr6	158478872	158479143	10366397	10366403	0.48	0.95	0.95	0.94
chr20	33878761	33879621	25389103	25389115	0.38	0.82	0.85	0.88
chr10	126120365	126120685	15830749	15830754	0.83	0.42	0.27	0.33
chr1	223724566	223724967	2000540	2000548	0.43	0.92	0.86	0.89
chr3	72637371	72637884	5109264	5109271	0.48	0.94	0.95	0.95
chr16	11366735	11366990	21308313	21308323	0.48	0.96	0.93	0.95
chr15	69144946	69145239	20714826	20714834	0.38	0.84	0.81	0.86
chr1	180919483	180919741	1657380	1657390	0.47	0.94	0.94	0.94
chr2	75345892	75346157	3013976	3013983	0.44	0.92	0.92	0.90
chr20	17378373	17378599	25232420	25232425	0.41	0.87	0.88	0.89
chr7	135367611	135368206	11806492	11806503	0.50	0.97	0.96	0.96
chr3	13730370	13730696	4582343	4582350	0.39	0.85	0.86	0.85
chr6	6811916	6812219	9138123	9138131	0.48	0.01	0.01	0.02
chr14	54794773	54795078	19638354	19638359	0.40	0.91	0.86	0.84
chr18	9536751	9537089	23432763	23432772	0.48	0.95	0.94	0.94
chr15	62999368	62999839	20639032	20639038	0.46	0.94	0.92	0.92
chr11	63865214	63865661	16562621	16562627	0.47	0.93	0.93	0.94
chr12	116743430	116744103	18283892	18283902	0.49	0.95	0.97	0.96
chr16	27755185	27755461	21512117	21512122	0.50	0.97	0.97	0.97
chr21	46776425	46776649	26143863	26143871	0.95	0.39	0.53	0.57
chr11	134400889	134401124	17267554	17267562	0.46	0.94	0.92	0.93
chr15	32866455	32866678	20357200	20357206	0.49	0.95	0.96	0.96
chr13	49950419	49951953	18841412	18841445	0.46	0.93	0.93	0.94
chr2	48400162	48400976	2782842	2782849	0.42	0.88	0.93	0.88
chr3	189487878	189488247	5968943	5968948	0.41	0.84	0.90	0.90
chr7	137563332	137563803	11821962	11821971	0.49	0.96	0.96	0.96
chr1	6781278	6781498	151947	151952	0.46	0.91	0.94	0.93
chr17	75281434	75281728	23190114	23190121	0.05	0.51	0.42	0.58
chr20	18323426	18324067	25244858	25244865	0.42	0.87	0.90	0.90
chr16	75403408	75403760	21941469	21941475	0.47	0.92	0.95	0.94
chr1	204997531	204997754	1842398	1842403	0.39	0.87	0.87	0.83
chr1	11772683	11772939	238471	238479	0.39	0.89	0.82	0.84
chr9	132024635	132024889	14424550	14424557	0.29	0.78	0.68	0.78
chr1	9830632	9830870	203104	203110	0.50	0.06	0.01	0.02
chr19	1997884	1998169	24091341	24091346	0.47	0.94	0.94	0.93
chr2	55274326	55274670	2831138	2831145	0.48	0.96	0.94	0.94
chr1	10679339	10679668	217292	217304	0.49	0.96	0.97	0.95
chr11	66087261	66087472	16612582	16612587	0.37	0.86	0.83	0.80
chr21	47396851	47397080	26158481	26158486	0.59	0.11	0.13	0.15
chr10	131998608	131998825	15908034	15908039	0.35	0.85	0.78	0.80
chr14	105397057	105397287	20179883	20179888	0.39	0.89	0.83	0.83
chr2	54253768	54254172	2821449	2821454	0.47	0.93	0.94	0.93
chr8	124302481	124302861	13145977	13145985	0.45	0.95	0.91	0.89
chr17	5930399	5930670	22307709	22307715	0.43	0.87	0.91	0.92
chr12	130529868	130530228	18479891	18479908	0.53	0.04	0.07	0.08
chr4	54788738	54789295	6572667	6572674	0.45	0.90	0.93	0.92
chr1	229403700	229404112	2074154	2074160	0.48	0.92	0.96	0.96
chr4	6795986	6796398	6203156	6203161	0.42	0.86	0.87	0.93
chr7	101491163	101491474	11538207	11538214	0.49	0.97	0.95	0.94
chr16	78907773	78908140	21976044	21976055	0.48	0.94	0.97	0.93
chr22	31439112	31439554	26402363	26402375	0.46	0.93	0.92	0.92
chr3	56326003	56326482	4972070	4972076	0.44	0.88	0.91	0.93
chr2	202512798	202513507	4012974	4012979	0.43	0.91	0.90	0.89
chr20	19908350	19908843	25259616	25259625	0.50	0.96	0.97	0.96
chr2	61185252	61185772	2873808	2873815	0.50	0.97	0.97	0.95
chr22	38715248	38716034	26506718	26506727	0.38	0.86	0.84	0.85
chr15	43816023	43816320	20469248	20469254	0.46	0.91	0.94	0.94
chr6	116935765	116936145	10036949	10036956	0.46	0.91	0.95	0.93
chr9	132912174	132912609	14442764	14442769	0.44	0.88	0.93	0.93
chr7	99782079	99782300	11503466	11503475	0.46	0.92	0.93	0.93
chr4	7006026	7006524	6206843	6206849	0.46	0.92	0.93	0.93
chr3	11755395	11755893	4553622	4553628	0.42	0.85	0.91	0.92
chr19	40404217	40404440	24726126	24726134	0.48	0.01	0.01	0.01
chr4	154427246	154428259	7243634	7243645	0.47	0.94	0.94	0.94
chr4	15984545	15984981	6305987	6305992	0.47	0.93	0.93	0.93
chr1	26135461	26135696	452285	452298	0.44	0.85	0.95	0.95
chr1	26262937	26263316	454467	454477	0.45	0.90	0.92	0.92
chr20	48995861	48996195	25574332	25574347	0.48	0.01	0.01	0.01
chr2	48539730	48539969	2783814	2783827	0.49	0.97	0.93	0.95
chr2	232850751	232851381	4282687	4282694	0.49	0.96	0.96	0.97
chr14	104173731	104174138	20151813	20151827	0.50	0.96	0.96	0.96
chr1	205758345	205759064	1853129	1853135	0.46	0.91	0.92	0.94
chr18	23808418	23808652	23554767	23554772	0.31	0.80	0.67	0.81
chrX	120309262	120309528	27705447	27705452	0.34	0.78	0.87	0.81
chr10	126277499	126277747	15833991	15834001	0.49	0.04	0.01	0.01
chr5	177666511	177666849	8991512	8991526	0.43	0.86	0.94	0.93
chr11	61146770	61147093	16518100	16518109	0.47	0.93	0.95	0.94
chr7	77308788	77309454	11336060	11336069	0.68	0.29	0.14	0.17
chr3	158511571	158512514	5725112	5725117	0.47	0.93	0.93	0.96
chr18	19879647	19880144	23517451	23517457	0.47	0.92	0.95	0.96
chr7	74463489	74464989	11293705	11293739	0.47	0.93	0.94	0.93
chr4	47943563	47943830	6540459	6540465	0.44	0.88	0.94	0.93
chr6	108397533	108398079	9969962	9969972	0.43	0.91	0.88	0.89
chr6	168639885	168640089	10489208	10489214	0.45	0.89	0.95	0.94
chr3	151645542	151645756	5676527	5676533	0.48	0.94	0.95	0.95
chr7	75994654	75995020	11321244	11321257	0.48	0.96	0.92	0.94
chr9	114112202	114112404	14218150	14218155	0.48	0.01	0.01	0.02
chr8	121040721	121040954	13119962	13119968	0.50	0.97	0.95	0.97
chr18	20790879	20791238	23526261	23526268	0.47	0.95	0.91	0.94
chr22	38695614	38695818	26506171	26506177	0.44	0.90	0.92	0.89
chr1	1954622	1954921	50277	50285	0.56	0.14	0.04	0.06
chr1	33196373	33196655	555785	555797	0.34	0.76	0.82	0.85
chr12	95296865	95297099	18065829	18065835	0.39	0.82	0.88	0.89
chr13	47170697	47170944	18821086	18821092	0.48	0.93	0.95	0.95
chr2	175404604	175405049	3825637	3825643	0.44	0.90	0.91	0.91
chr10	115275353	115275659	15712479	15712485	0.43	0.86	0.93	0.93
chr10	61387981	61388357	15207949	15207955	0.50	0.96	0.98	0.96
chr4	1208110	1208338	6099178	6099192	0.49	0.96	0.97	0.95
chr17	27905274	27905481	22574024	22574034	0.49	0.95	0.96	0.95
chr16	19772844	19773211	21422633	21422638	0.47	0.93	0.94	0.94
chr1	14956220	14956522	278034	278041	0.43	0.84	0.90	0.94
chr4	56476486	56476963	6587512	6587518	0.49	0.96	0.92	0.96
chr5	157328686	157329368	8785239	8785246	0.49	0.96	0.96	0.95
chr16	22256725	22257233	21451105	21451113	0.38	0.79	0.89	0.89
chr2	238952047	238952317	4365975	4365980	0.50	0.97	0.93	0.96
chr2	112498754	112499061	3322654	3322659	0.43	0.86	0.92	0.93
chr6	151199456	151199761	10293718	10293724	0.96	0.41	0.59	0.56
chr21	46898103	46898359	26147737	26147753	0.48	0.01	0.01	0.02
chr19	49181430	49181839	24885539	24885544	0.51	0.02	0.01	0.09
chr19	5148023	5148239	24186591	24186606	0.49	0.95	0.95	0.96
chr1	229725880	229726646	2078627	2078635	0.49	0.96	0.94	0.96
chr7	101792849	101793271	11543773	11543785	0.44	0.91	0.91	0.90
chr9	95903533	95903785	14049598	14049604	0.45	0.90	0.91	0.93
chr8	66870030	66870783	12735887	12735899	0.48	0.95	0.94	0.93
chr5	169913379	169914129	8884027	8884032	0.27	0.82	0.62	0.67
chr12	132842539	132842784	18525442	18525468	0.48	0.94	0.95	0.94
chr12	105608608	105608948	18153375	18153382	0.48	0.02	0.01	0.01
chr20	33409611	33410038	25382207	25382215	0.47	0.93	0.92	0.93
chr11	119560887	119561191	17106109	17106115	0.46	0.93	0.89	0.94
chr6	26385939	26386617	9333449	9333460	0.46	0.92	0.94	0.93
chr2	66083546	66084597	2922623	2922628	0.31	0.87	0.68	0.68
chr6	38378880	38379628	9497653	9497665	0.49	0.94	0.94	0.96
chr17	43150584	43150836	22788735	22788740	0.50	0.96	0.97	0.96
chr14	23201708	23201921	19396732	19396737	0.46	0.95	0.92	0.90
chr7	100360807	100361144	11515911	11515916	0.40	0.84	0.88	0.87
chr8	23257386	23257752	12378852	12378859	0.47	0.93	0.92	0.94
chr22	21317413	21317645	26259291	26259296	0.41	0.89	0.90	0.84
chr5	6637566	6637804	7652595	7652601	0.48	0.93	0.92	0.96
chr20	15090360	15090592	25216122	25216129	0.50	0.97	0.96	0.96
chr22	18197336	18198097	26199622	26199631	0.44	0.91	0.93	0.89
chr6	97468971	97469590	9891563	9891568	0.43	0.85	0.91	0.93
chr10	35436709	35437567	15020682	15020687	0.46	0.91	0.92	0.94
chr16	56369218	56369553	21725999	21726007	0.41	0.84	0.86	0.91
chr10	94105022	94105233	15501260	15501265	0.51	0.97	0.96	0.97
chr12	31388291	31388501	17573168	17573174	0.48	0.02	0.02	0.03
chr14	65534640	65534891	19735476	19735481	0.49	0.96	0.96	0.95
chr5	152166876	152167338	8743754	8743759	0.39	0.87	0.85	0.83
chr14	105065366	105065637	20170668	20170677	0.42	0.89	0.86	0.87
chr12	120521892	120522102	18329303	18329310	0.47	0.95	0.93	0.92
chr20	34172188	34172691	25392987	25392996	0.47	0.94	0.92	0.93
chr6	31792192	31792834	9404871	9404881	0.40	0.86	0.82	0.88
chr1	44437370	44437785	695085	695096	0.50	0.95	0.96	0.96
chr11	76501719	76503017	16773041	16773050	0.45	0.90	0.90	0.93
chr14	75056430	75056762	19832024	19832030	0.43	0.86	0.92	0.92
chr22	41099025	41099782	26547750	26547755	0.40	0.87	0.85	0.85
chr10	66532498	66533042	15246598	15246606	0.48	0.93	0.97	0.94
chr21	33724193	33724738	25951818	25951829	0.42	0.83	0.92	0.93
chr14	75089952	75090187	19832686	19832694	0.46	0.94	0.88	0.90
chr1	17321540	17322221	319509	319519	0.41	0.90	0.84	0.85
chr13	111967624	111968050	19291408	19291416	0.40	0.85	0.84	0.88
chr11	47432104	47432311	16430919	16430924	0.44	0.88	0.91	0.92
chr20	37801365	37802016	25443661	25443666	0.37	0.86	0.83	0.79
chr1	42314956	42315660	669938	669946	0.49	0.94	0.96	0.96
chr5	141816661	141817581	8658628	8658636	0.50	0.96	0.96	0.95
chr9	137987436	137987642	14544772	14544777	0.48	0.01	0.01	0.03
chr11	63765682	63765991	16559978	16559989	0.45	0.93	0.89	0.92
chr10	34021103	34021342	15005959	15005964	0.48	0.02	0.01	0.02
chr6	27869349	27869682	9354479	9354484	0.42	0.84	0.91	0.90
chr16	19144028	19144379	21414956	21414968	0.48	0.96	0.92	0.92
chr18	13812591	13812844	23487810	23487815	0.43	0.89	0.91	0.90
chr10	12342122	12342406	14785860	14785868	0.50	0.95	0.96	0.97
chr2	29340056	29340418	2604470	2604477	0.44	0.94	0.89	0.87
chr15	74223309	74223651	20767016	20767024	0.46	0.90	0.94	0.92
chr22	19107675	19108092	26216274	26216280	0.28	0.69	0.73	0.80
chr11	119303427	119303687	17102664	17102670	0.02	0.53	0.40	0.48
chr7	115957882	115958242	11652996	11653002	0.47	0.92	0.92	0.94
chr18	20747886	20748206	23525597	23525602	0.45	0.93	0.94	0.86
chr17	18960277	18960916	22493158	22493178	0.47	0.94	0.93	0.91
chr16	2549546	2550027	21175433	21175443	0.47	0.92	0.93	0.93
chr3	172277908	172278273	5816891	5816896	0.05	0.51	0.40	0.56
chr9	102866029	102866788	14132442	14132447	0.50	0.96	0.97	0.97
chr7	1753508	1753727	10581950	10581965	0.47	0.01	0.01	0.01
chr20	62174335	62174629	25771178	25771185	0.41	0.86	0.84	0.89
chr8	127590956	127591388	13176787	13176793	0.50	0.95	0.97	0.96
chr3	185910087	185910721	5937003	5937009	0.44	0.87	0.94	0.92
chr19	18852326	18852541	24470152	24470157	0.48	0.01	0.01	0.03
chr11	2832676	2832904	16057772	16057781	0.48	0.93	0.95	0.95
chr16	69020516	69020921	21856721	21856727	0.50	0.97	0.97	0.96
chr13	73219900	73220367	18990249	18990254	0.40	0.87	0.79	0.88
chr20	748822	749070	25086355	25086362	0.48	0.02	0.01	0.01
chr2	74602131	74602551	3004290	3004295	0.48	0.92	0.93	0.96
chr16	16311664	16311901	21378247	21378255	0.49	0.96	0.93	0.94
chr17	71045504	71045871	23107105	23107113	0.46	0.94	0.92	0.90
chr12	64498719	64499322	17858805	17858812	0.46	0.90	0.96	0.94
chr4	72054016	72054224	6684776	6684781	0.47	0.01	0.01	0.01
chr16	89420846	89421119	22163195	22163201	0.51	0.10	0.02	0.01
chr15	89918767	89919199	20942234	20942242	0.55	0.06	0.10	0.14
chr2	201549202	201549425	4003065	4003083	0.48	0.94	0.94	0.94
chr17	1457722	1457943	22221606	22221611	0.50	0.95	0.98	0.97
chr3	71178133	71178644	5093638	5093645	0.48	0.01	0.01	0.04
chrX	45363931	45364155	27165516	27165531	0.49	0.93	0.97	0.97
chr2	98800768	98801106	3184072	3184079	0.48	0.94	0.92	0.95
chr2	223858664	223858914	4200101	4200106	0.47	0.94	0.91	0.94
chr12	67419342	67419567	17883013	17883018	0.49	0.03	0.02	0.04
chr13	43469877	43470318	18786943	18786950	0.49	0.93	0.97	0.96
chr7	95802871	95803813	11453109	11453115	0.49	0.92	0.96	0.96
chr1	236622142	236622408	2155469	2155476	0.49	0.94	0.95	0.94
chr1	9867399	9867702	203796	203803	0.47	0.92	0.93	0.93
chr1	228196706	228197110	2053253	2053261	0.55	0.11	0.06	0.09
chr10	98153127	98153598	15538804	15538809	0.44	0.92	0.89	0.88
chr8	11742821	11743065	12259926	12259931	0.45	0.88	0.96	0.91
chr17	42165955	42166339	22769871	22769878	0.44	0.91	0.86	0.91
chr9	117549048	117549628	14259133	14259138	0.49	0.93	0.96	0.95
chr12	124669093	124669383	18405671	18405685	0.49	0.95	0.93	0.95
chr22	41768056	41768379	26559602	26559607	0.48	0.93	0.93	0.94
chr2	160818127	160819881	3713570	3713577	0.51	0.96	0.97	0.97
chr4	149150037	149150490	7202768	7202774	0.47	0.96	0.92	0.89
chr13	30118905	30119871	18676927	18676943	0.48	0.95	0.92	0.94
chr3	145897880	145898261	5635382	5635387	0.51	0.96	0.97	0.97
chr1	33246364	33246587	556880	556885	0.41	0.81	0.91	0.92
chr11	124944486	124944991	17162327	17162333	0.91	0.55	0.23	0.45
chr6	37580009	37580223	9489098	9489103	0.43	0.89	0.87	0.90
chr6	43118332	43118615	9550038	9550044	0.47	0.01	0.02	0.01
chr2	8820459	8820713	2389038	2389045	0.47	0.01	0.01	0.01
chr19	38514736	38515302	24688554	24688561	0.63	0.15	0.14	0.22
chr9	95885584	95886023	14049113	14049124	0.46	0.93	0.91	0.92
chr20	14596533	14597255	25212808	25212814	0.50	0.95	0.96	0.96
chr15	96881972	96883048	21020624	21020634	0.48	0.01	0.04	0.02
chr1	3619525	3619821	99162	99170	0.03	0.47	0.48	0.51
chr22	20829975	20830221	26250767	26250774	0.46	0.89	0.93	0.94
chr10	106085203	106085472	15642136	15642142	0.45	0.91	0.91	0.89
chr16	2136106	2136456	21162419	21162438	0.42	0.83	0.92	0.91
